1	0.00385	3.53	78.6	152	4.6
2	0.025	4.15	78.2	154	6.5
3	0.0474	4.34	77.6	155	8.2
4	0.0691	5.27	77.1	155	8.2
5	0.0889	5.78	76.6	155	7.6
6	0.112	8.16	76.5	153	5.5
7	0.126	7.84	76.5	153	5.9
8	0.133	22.9	77.2	153	6.2
9	0.14	49.6	79.3	153	7.8
10	0.151	70.1	78.7	154	8.1
11	0.157	78.1	78.4	155	7.4
12	0.162	84	78.2	156	6.2
13	0.175	92	90.7	157	6.8
14	0.196	103	101	152	6.2
15	0.216	110	109	134	6.6
16	0.237	113	112	96	7.3
17	0.258	115	114	82	7.7
18	0.279	114	113	72	7.9
19	0.3	113	112	66	8.6
20	0.323	109	108	60	9.4
21	0.343	105	104	55	9.9
22	0.366	95	94.3	52	10.1
23	0.386	77.3	85.4	50	10.7
24	0.407	58.3	91.4	49	11.2
25	0.432	43.3	92.2	49	11.8
26	0.459	26.3	92	49	12.7
27	0.475	9.53	90.2	49	12.3
28	0.498	5.88	87.6	52	8.9
29	0.519	3.68	86.9	58	6.2
30	0.539	2.63	84.6	66	5.0
31	0.561	1.37	82.8	79	4.4
32	0.581	1.26	81.4	101	4.4
33	0.605	1.35	80.3	115	4.4
34	0.626	1.76	79.3	124	4.5
35	0.645	2.06	78.5	131	4.5
36	0.666	2.36	77.5	136	5.1
37	0.689	2.87	77.1	141	5.5
38	0.711	3.27	76.4	145	5.8
39	0.733	3.57	75.8	149	6.4
40	0.754	4.29	75.4	152	7.1
41	0.775	4.59	74.8	153	7.7
42	0.795	4.68	74	156	8.3
43	0.808	4.88	73.7	156	8.6
